"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","poss.number","def.number"
1026,"68","GK","FCKC","Barnhart","passes.f","DR",NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1026,"68",NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1027,"68","M","FCKC","O'Reilly","aerial.lost","AMR",NA,NA,"M","PTFC","Brynjarsdottir","aerial.won","DML",NA,NA,NA,NA,NA,NA,NA,NA
1028,"68","M","FCKC","Buczkowski","recoveries","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,"68","M","FCKC","Buczkowski","passes.f.c","AMR","AMR",NA,"M","PTFC","Horan","pressured","DML",NA,NA,NA,NA,NA,NA,NA,NA
1030,"68","M","FCKC","O'Reilly","passes.s.c","AMR","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031,"68","M","FCKC","Buczkowski","passes.f","AMR",NA,"through","D","PTFC","Klingenberg","blocks","DL",NA,NA,NA,NA,NA,NA,NA,NA
1031,"68",NA,NA,NA,NA,NA,NA,NA,"M","PTFC","Long","pressured","DML",NA,NA,NA,NA,NA,NA,NA,NA
1031,"68",NA,NA,NA,NA,NA,NA,NA,"M","PTFC","Horan","pressured","DML",NA,NA,NA,NA,NA,NA,NA,NA
1032,"68","M","FCKC","O'Reilly","recoveries","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1033,"68","M","FCKC","O'Reilly","passes.s","AR",NA,"corner.crosses","D","PTFC","Klingenberg","pressured","DL",NA,NA,NA,NA,NA,NA,NA,NA
1034,"68","M","PTFC","Long","clearances","D18",NA,NA,"M","FCKC","Laddish","blocks","A18",NA,NA,NA,NA,NA,NA,NA,NA
1035,"68","M","FCKC","Laddish","recoveries","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1036,"69","M","FCKC","Laddish","movement","A18","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037,"68","M","FCKC","Laddish","passes.f.c","AR","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1038,"68","M","FCKC","O'Reilly","passes.s","AR",NA,"corner.crosses","D","PTFC","Reynolds","clearances","D6",NA,NA,NA,NA,NA,NA,NA,NA
1039,"68","M","FCKC","Buczkowski","recoveries","AC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1040,"68","M","FCKC","Buczkowski","passes.f.c","AC","AC",NA,"M","PTFC","Long","pressured","DC",NA,NA,NA,NA,NA,NA,NA,NA
1041,"68","M","FCKC","Laddish","passes.b.c","AC","AC","lay.off","M","PTFC","Long","challenged","DC",NA,NA,"fouls.won",NA,"fouls.conceded",NA,NA,NA
1041,"68",NA,NA,NA,NA,NA,NA,NA,"D","PTFC","Menges","pressured","DC",NA,NA,NA,NA,NA,NA,NA,NA
1042,"69","D","FCKC","Averbuch","shots.blocked","AC",NA,"free.kick","M","PTFC","Raso","blocks","D18",NA,NA,NA,NA,NA,NA,NA,NA
1043,"69","M","FCKC","Buczkowski","recoveries","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
