"event","time","poss.position","poss.team","poss.number","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.number","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG"
103,"7","M","WAS",NA,"Lohman","passes.s.c","AM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,"7","D","WAS",NA,"Kleiner","take.on.won","AM3L",NA,NA,"F","WNYF",9,"L. Williams","dribbled.turned","DM3R",NA,NA,NA,NA,NA,NA,NA
105,"7","D","WAS",NA,"Kleiner","passes.s.c","AM3L","AM3L",NA,"M","WNYF",NA,"Kennedy","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA
106,"7","M","WAS",NA,"Nairn","passes.b.c","AM3L","DM3L","lay.off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,"7","M","WAS",NA,"Lohman","passes.b.c","DM3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"7","D","WAS",NA,"Zadorsky","passes.b.c","DM3L","D3C",NA,"F","WNYF",NA,"Doniak","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA
109,"7","D","WAS",NA,"Oyster","movement","D3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"7","D","WAS",NA,"Oyster","passes.f.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"7","M","WAS",NA,"Nairn","passes.s.c","DM3C","DM3L",NA,"M","WNYF",NA,"Mewis","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA
112,"7","D","WAS",NA,"Kleiner","passes.f","DM3L",NA,NA,"F","WNYF",9,"L. Williams","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA
112,"8",NA,NA,NA,NA,NA,NA,NA,NA,"GK","WNYF",NA,"D'Angelo","gk.loose.balls.won","D3R",NA,NA,NA,NA,NA,NA,NA
113,"8","GK","WNYF",NA,"D'Angelo","passes.f.c","D3R","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"8","D","WNYF",NA,"Dahlkemper","passes.f.c","D3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,"8","M","WNYF",NA,"Kennedy","passes.f.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"8","M","WNYF",NA,"Mewis","passes.f.c","DM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"8","F","WNYF",9,"L. Williams","lost.touch","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"8","M","WAS",NA,"Huster","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,"8","M","WAS",NA,"Huster","passes.f","DM3L",NA,NA,"M","WNYF",NA,"Mewis","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA
119,"8",NA,NA,NA,NA,NA,NA,NA,NA,"M","WNYF",NA,"Mewis","blocks","AM3R",NA,NA,NA,NA,NA,NA,NA
120,"8","F","WNYF",NA,"Doniak","recoveries","AM3R",NA,NA,"D","WAS",NA,"Kleiner","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
121,"8","F","WNYF",NA,"Doniak","passes.b.c","AM3R","AM3R",NA,"D","WAS",NA,"Kleiner","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
122,"8","F","WNYF",9,"L. Williams","passes.s.c","AM3R","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"8","M","WNYF",NA,"Mewis","movement","AM3C","A3R",NA,"M","WAS",NA,"Huster","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA
124,"8","M","WNYF",NA,"Mewis","shots.stopped.by.gk","A3R",NA,NA,"GK","WAS",NA,"Labbe","gk.s.o.g.stop","D6","parried.to.safety","reaching",NA,"out.of.bounds.keep.poss",NA,NA,NA
124,"8",NA,NA,NA,NA,NA,NA,NA,NA,"M","WAS",NA,"Huster","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
125,"9","D","WNYF",NA,"Dahlkemper","passes.s","A3R",NA,"corner.crosses","M","WAS",NA,"Lohman","clearances","D18",NA,NA,NA,NA,NA,NA,NA
125,"9",NA,NA,NA,NA,NA,NA,NA,"corner.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"9","D","WNYF",NA,"Eddy","shots.missed","A3C",NA,NA,"GK","WAS",NA,"Labbe","gk.shot.miss","D6",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA
127,"9","GK","WAS",NA,"Labbe","passes.f.c","D6","AM3C","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"9",NA,NA,NA,NA,NA,NA,NA,"goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,"9","F","WAS",20,"C. Williams","aerial.won","AM3C",NA,NA,"M","WNYF",NA,"Mewis","aerial.lost","DM3C",NA,NA,NA,NA,NA,NA,NA
129,"9","D","WNYF",NA,"Dahlkemper","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,"9","D","WNYF",NA,"Dahlkemper","passes.f","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,"9","M","WNYF",NA,"Mewis","aerial.lost","DM3L",NA,NA,"F","WAS",20,"C. Williams","aerial.won","AM3R",NA,NA,NA,NA,NA,NA,NA
132,"9","M","WAS",NA,"Lohman","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"9","M","WAS",NA,"Lohman","passes.s.c","AM3L","AM3L",NA,"M","WNYF",NA,"Kennedy","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA
134,"10","F","WAS",20,"C. Williams","take.on.won","AM3L",NA,NA,"F","WNYF",NA,"Smith","dribbled.tackles.missed","DM3R",NA,NA,NA,NA,NA,NA,NA
135,"10","F","WAS",20,"C. Williams","passes.b.c","AM3L","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
