"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","poss.player.disciplinary","poss.notes","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"156","11","D","SRFC","Barnes","passes.b.c","D3L","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","11","GK","SRFC","Solo","passes.f.c","D18","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","11","D","SRFC","Corsie","passes.f.c","D3R","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","11","D","SRFC","Fletcher","passes.f.c","D3R","DM3R",NA,NA,NA,"M","FCKC","Tymrak","pressured","A3L",NA,NA,NA,NA,NA,NA,NA
"160","11","F","SRFC","Mathias","passes.s.c","DM3R","DM3R",NA,NA,NA,"D","FCKC","Moros","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA
"161","11","D","SRFC","Fletcher","passes.f","DM3R","AM3C",NA,NA,NA,"M","FCKC","Tymrak","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA
"161","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Sauerbrunn","blocks","DM3C",NA,NA,NA,NA,NA,NA,NA
"162","11","D","FCKC","Sauerbrunn","passes.f.c","DM3C","DM3C",NA,NA,NA,"F","SRFC","Yanez","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA
"163","11","M","FCKC","Buczkowski","passes.b.c","DM3C","DM3C",NA,NA,NA,"F","SRFC","Yanez","blocks","AM3C",NA,NA,NA,NA,NA,NA,NA
"164","11","M","SRFC","Little","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","11","M","SRFC","Little","passes.f","AM3C","A18","through",NA,NA,"M","FCKC","Buczkowski","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA
"165","11",NA,"SRFC",NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Brown","blocks","D3C",NA,NA,NA,NA,NA,NA,NA
"165","11",NA,"SRFC",NA,NA,NA,NA,NA,NA,NA,"GK","FCKC","Barnhart","gk.smothers.on","D18","collected",NA,NA,NA,NA,NA,NA
"166","11","GK","FCKC","Barnhart","passes.f.c","D18","D3R","gk.throws",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","11","M","FCKC","O'Reilly","passes.b.c","DM3R","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","11","D","FCKC","Sauerbrunn","passes.f.c","D3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","11","M","FCKC","Laddish","passes.f","DM3C","AM3C",NA,NA,NA,"M","SRFC","Fishlock","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA
"169","11",NA,"FCKC",NA,NA,NA,NA,NA,NA,NA,"M","SRFC","Winters","blocks","DM3C",NA,NA,NA,NA,NA,NA,NA
"170","11","M","SRFC","Winters","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","11","M","SRFC","Winters","passes.b.c","DM3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","11","D","SRFC","Corsie","passes.f.c","D3C",NA,NA,NA,NA,"F","FCKC","Rodriguez","pressured","A3C",NA,NA,NA,NA,NA,NA,NA
"173","11","M","SRFC","Little","passes.s.c","AM3C","DM3L",NA,NA,NA,"M","FCKC","Holiday","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA
"174","11","D","SRFC","Cox","passes.f","DM3L","D18","deep.crosses",NA,NA,"GK","FCKC","Barnhart","gk.high.balls.won","D18","caught",NA,NA,NA,NA,NA,NA
"175","12",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","12","D","FCKC","Brown","passes.f.c","D3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","12","M","FCKC","Buczkowski","passes.s.c","DM3R","DM3R",NA,NA,NA,"M","SRFC","Little","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA
"178","12","M","FCKC","O'Reilly","passes.s.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","12","M","FCKC","Holiday","take.on.won","DM3R",NA,NA,NA,NA,"F","SRFC","Yanez","dribbled.turned","AM3L",NA,NA,NA,NA,NA,NA,NA
"180","12","M","FCKC","Holiday","passes.b.c","DM3R","D3R",NA,NA,NA,"M","SRFC","Fishlock","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA
"181","12","D","FCKC","Lepeilbet","passes.b.c","D3R","D18",NA,NA,NA,"M","SRFC","Fishlock","pressured","A3L",NA,NA,NA,NA,NA,NA,NA
"182","12","GK","FCKC","Barnhart","passes.f.c","D18","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","12","D","FCKC","Moros","passes.f.c","D3L","D3C",NA,NA,NA,"F","SRFC","Mathias","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"184","12","M","FCKC","Holiday","passes.f.c","D3L","D3L",NA,NA,NA,"M","SRFC","Winters","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"184","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","SRFC","Little","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"185","12","M","FCKC","Laddish","passes.s.c","D3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","12","D","FCKC","Moros","passes.f.c","D3L","DM3L",NA,NA,NA,"F","SRFC","Mathias","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"187","12","M","FCKC","Tymrak","passes.b.c","DM3L","DM3L",NA,NA,NA,"D","SRFC","Fletcher","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA
"188","12","M","FCKC","Holiday","passes.f.c","DM3L","DM3L","through",NA,NA,"D","SRFC","Fletcher","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA
"189","12","M","FCKC","Tymrak","passes.f.c","AM3L","A3L",NA,NA,NA,"D","SRFC","Fletcher","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA
"190","12","D","FCKC","Moros","passes.s.c","A3L","A3L",NA,NA,NA,"D","SRFC","Fletcher","pressured","D3R",NA,NA,NA,NA,NA,NA,NA
"191","13","M","FCKC","Laddish","passes.f.c","A3L","A3L","through",NA,NA,"D","SRFC","Corsie","pressured","D18",NA,NA,NA,NA,NA,NA,NA
"192","13","F","FCKC","Rodriguez","shots.stopped.by.gk","A18",NA,NA,NA,NA,"D","SRFC","Corsie","pressured","D18",NA,NA,NA,NA,NA,NA,NA
"193","13",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,"GK","SRFC","Solo","gk.s.o.g.stop","D6","caught","diving",NA,NA,NA,NA,NA
"194","13","M","FCKC","Laddish","passes.s.c","A3C","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","13","M","FCKC","O'Reilly","passes.f.c","A3R","A18","through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","13","M","FCKC","Holiday","dispossessed","A18",NA,NA,NA,"out.of.bounds.keep.poss","M","SRFC","Fishlock","tackles.ball.away","D18",NA,NA,NA,NA,NA,NA,NA
"197","14","M","FCKC","Holiday","passes.s","A3R","A18","corner.kick",NA,NA,"D","SRFC","Fletcher","blocks","D18",NA,NA,NA,NA,NA,NA,NA
"198","14","M","FCKC","O'Reilly","aerial.lost","A18",NA,NA,NA,NA,"M","SRFC","Little","aerial.won","D18",NA,NA,NA,NA,NA,NA,NA
"199","14","M","FCKC","Tymrak","recoveries","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","14","M","FCKC","Tymrak","passes.b.c","A3L","A3L",NA,NA,NA,"F","SRFC","Mathias","pressured","D3R",NA,NA,NA,NA,NA,NA,NA
"201","14","M","FCKC","Buczkowski","passes.b.c","A3L","AM3C",NA,NA,NA,"F","SRFC","Mathias","pressured","D3R",NA,NA,NA,NA,NA,NA,NA
"202","14","D","FCKC","Moros","passes.f.c","AM3C","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","14","M","FCKC","Holiday","passes.f","A3R","A18","corner.crosses",NA,NA,"GK","SRFC","Solo","gk.high.balls.won","D18","caught",NA,NA,NA,NA,NA,NA
"204","14",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","14","D","FCKC","Lepeilbet","passes.f.c","D3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","14","M","FCKC","Buczkowski","passes.f.c","DM3C","AM3C",NA,NA,NA,"F","SRFC","Mathias","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA
"207","14","M","FCKC","Holiday","passes.b.c","DM3C","D3C",NA,NA,NA,"M","SRFC","Winters","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA
"208","14","D","FCKC","Sauerbrunn","passes.s.c","D3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","14","D","FCKC","Lepeilbet","passes.s.c","D3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","14","D","FCKC","Sauerbrunn","passes.f.c","D3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","15","D","FCKC","Moros","take.on.won","AM3L",NA,NA,NA,NA,"F","SRFC","Rapinoe","dribbled.out.run","DM3R",NA,NA,NA,NA,NA,NA,NA
"212","15","D","FCKC","Moros","take.on.lost",NA,NA,NA,NA,NA,"M","SRFC","Fishlock","tackles.ball.away","D3R",NA,NA,NA,NA,NA,NA,NA
"213","15","F","FCKC","Rodriguez","recoveries","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","15","F","FCKC","Rodriguez","lost.touch","A3L",NA,NA,NA,NA,"D","SRFC","Corsie","dispossessed","D3R",NA,NA,NA,NA,NA,NA,NA
"214","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","SRFC","Corsie","clearances","D3R",NA,NA,NA,NA,NA,NA,NA
"215","15","M","FCKC","Holiday","aerial.lost","A3L",NA,NA,NA,NA,"M","SRFC","Fishlock","aerial.won","D3R",NA,NA,NA,NA,NA,NA,NA
"216","15","F","SRFC","Rapinoe","recoveries","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","15","F","SRFC","Rapinoe","passes.f.c","DM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","15","M","SRFC","Little","passes.f.c","AM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","15","F","SRFC","Rapinoe","passes.s","AM3C","AM3L",NA,NA,NA,"M","FCKC","O'Reilly","interceptions","DM3R",NA,NA,NA,NA,NA,NA,NA
"220","15","M","FCKC","O'Reilly","passes.f.c","DM3R","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","15","M","FCKC","Holiday","passes.f.c","A3C",NA,NA,NA,NA,"D","SRFC","Corsie","pressured","D3C",NA,NA,NA,NA,NA,NA,NA
"222","15","F","FCKC","Rodriguez","shots.missed","A18",NA,NA,NA,NA,"D","SRFC","Barnes","pressured","D18",NA,NA,NA,NA,NA,NA,NA
"223","15",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,"GK","SRFC","Solo","gk.shot.miss","D6",NA,NA,NA,NA,NA,NA,NA
"224","16","M","SRFC","Winters","passes.s.c","D3C","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","16","D","SRFC","Barnes","passes.f.c","D3L","A3L","through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","16","F","SRFC","Mathias","take.on.lost","A3L",NA,NA,NA,"out.of.bounds.keep.poss","D","FCKC","Lepeilbet","tackles.ball.away","D3R",NA,NA,NA,NA,NA,NA,NA
"227","16","D","SRFC","Cox","passes.f.c","A3L",NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","16","F","SRFC","Yanez","aerial.won","A3L",NA,NA,NA,NA,"D","FCKC","Brown","aerial.lost","D3R",NA,NA,NA,NA,NA,NA,NA
"229","16","M","SRFC","Little","recoveries","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","16","M","SRFC","Little","passes.f.c","A3L",NA,NA,NA,NA,"M","FCKC","Buczkowski","pressured","D3R",NA,NA,NA,NA,NA,NA,NA
"231","16","F","SRFC","Mathias","passes.s.c","A18",NA,NA,NA,NA,"D","FCKC","Sauerbrunn","pressured","D18",NA,NA,NA,NA,NA,NA,NA
"232","16","F","SRFC","Rapinoe","passes.b.c","A3R","A3R",NA,NA,NA,"D","FCKC","Moros","pressured","D3R",NA,NA,NA,NA,NA,NA,NA
"232","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","FCKC","Tymrak","pressured","D3R",NA,NA,NA,NA,NA,NA,NA
"233","16","D","SRFC","Fletcher","passes.s.c","A3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","16","M","SRFC","Winters","passes.b.c","A3R","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","16","D","SRFC","Barnes","passes.s.c","AM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","16","D","SRFC","Corsie","passes.f.c","AM3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","16","F","SRFC","Rapinoe","passes.b.c","A3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","17","D","SRFC","Fletcher","passes.b.c","AM3R","DM3R",NA,NA,NA,"M","FCKC","Tymrak","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
"239","17","D","SRFC","Corsie","passes.s.c","DM3R","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","17","D","SRFC","Barnes","passes.s.c","DM3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","17","D","SRFC","Cox","passes.s.c","DM3L","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","17","M","SRFC","Fishlock","passes.b.c","AM3C","DM3R",NA,NA,NA,"M","FCKC","Laddish","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA
"243","17","D","SRFC","Corsie","passes.s.c","DM3R","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","17","D","SRFC","Barnes","passes.s.c","DM3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","17","D","SRFC","Cox","passes.f","DM3L","A3C",NA,NA,NA,"D","FCKC","Lepeilbet","interceptions","D3C",NA,NA,NA,NA,NA,NA,NA
"246","17","D","FCKC","Lepeilbet","passes.f.c","D3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","17","M","FCKC","Laddish","take.on.lost","AM3C",NA,NA,NA,NA,"M","SRFC","Winters","tackles.ball.away","DM3C",NA,NA,NA,NA,NA,NA,NA
"248","17","M","SRFC","Fishlock","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","17","M","SRFC","Fishlock","passe.s.c","AM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","17","M","SRFC","Little","passes.f.c","A3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","17","F","SRFC","Rapinoe","passes.f.c","A3R","A3R","through",NA,NA,"D","FCKC","Moros","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"252","17","M","SRFC","Little","passes.s","A18","A6","corner.crosses",NA,"out.of.bounds.keep.poss","M","FCKC","Buczkowski","pressured","D18",NA,NA,NA,NA,NA,NA,NA
"252","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","FCKC","Buczkowski","blocks","D18",NA,NA,NA,NA,NA,NA,NA
"253","18","M","SRFC","Little","passes.s","A3R","A6","corner.kick",NA,NA,"GK","FCKC","Barnhart","gk.high.balls.won","D6","caught",NA,NA,NA,NA,NA,NA
"254","18","GK","FCKC","Barnhart","passes.s.c","D6","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","18","D","FCKC","Brown","passes.s.c","D3R","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","18","M","FCKC","Buczkowski","passes.f.c","D3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","18","M","FCKC","Holiday","passes.b.c","D3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","18","M","FCKC","Buczkowski","passes.s.c","D3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","18","D","FCKC","Sauerbrunn","passes.f.c","DM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","18","F","FCKC","Rodriguez","passes.s.c","AM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","18","M","FCKC","Holiday","passes.b.c","A3C","AM3C",NA,NA,NA,"M","SRFC","Fishlock","pressured","D3C",NA,NA,NA,NA,NA,NA,NA
"261","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","SRFC","Rapinoe","pressured","D3C",NA,NA,NA,NA,NA,NA,NA
"262","19","M","FCKC","Buczkowski","passes.f.c","AM3C","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","19","D","FCKC","Brown","shots.blocked.by.def","A3C",NA,NA,NA,"out.of.bounds.keep.poss","M","SRFC","Winters","blocks","D18",NA,NA,NA,NA,NA,NA,NA
"263","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GK","SRFC","Solo","gk.s.o.g.def.stop",NA,NA,NA,NA,NA,NA,NA,NA
"263","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","SRFC","Fishlock","clearances","D18",NA,NA,NA,NA,NA,NA,NA
"264","19",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","19","M","FCKC","Tymrak","passes.s.c","AM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","19","D","FCKC","Brown","passes.f.c","AM3R","A3R",NA,NA,NA,"F","SRFC","Rapinoe","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA
"267","19","M","FCKC","Holiday","passes.s","A3R","A3R",NA,NA,NA,"M","SRFC","Fishlock","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"267","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","SRFC","Rapinoe","interceptions","D3L",NA,NA,NA,NA,NA,NA,NA
"268","19","F","SRFC","Rapinoe","passes.s.c","D3L",NA,NA,NA,NA,"M","FCKC","Holiday","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"269","19","M","SRFC","Little","passes.f","DM3L","A3L","through",NA,"out.of.bounds.lost.poss","M","FCKC","Laddish","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA
"270","19","D","FCKC","Brown","passes.f.c","D3R","D3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","19","M","FCKC","Buczkowski","passes.f","D3R","AM3R","launch",NA,NA,"M","SRFC","Fishlock","pressured","A3L",NA,NA,NA,NA,NA,NA,NA
"271","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","SRFC","Corsie","blocks","DM3L",NA,NA,NA,NA,NA,NA,NA
"272","20","M","FCKC","Laddish","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","20","M","FCKC","Laddish","take.on.won","AM3R",NA,NA,NA,NA,"M","SRFC","Fishlock","dribbled.tackles.missed","DM3L",NA,NA,NA,NA,NA,NA,NA
"274","20","M","FCKC","Laddish","passes.f.c","A3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","20","M","FCKC","O'Reilly","passes.s","A3R",NA,"corner.crosses",NA,NA,"D","SRFC","Cox","blocks","D3L",NA,NA,NA,NA,NA,NA,NA
"276","20","M","FCKC","O'Reilly","recoveries","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","20","M","FCKC","O'Reilly","passes.b.c","A3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","20","M","FCKC","Holiday","passes.s.c","A3R","A3C",NA,NA,NA,"M","SRFC","Fishlock","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"279","20","M","FCKC","O'Reilly","take.on.lost","A3C",NA,NA,NA,NA,"M","SRFC","Winters","tackles.wins.ball","D3C",NA,NA,NA,NA,NA,NA,NA
"280","20","M","SRFC","Winters","passes.f.c","D3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","20","F","SRFC","Rapinoe","passes.s.c","A3C","A3C",NA,NA,"key.passes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","20","M","SRFC","Little","shots.stopped.by.gk","A3C",NA,NA,NA,NA,"GK","FCKC","Barnhart","gk.s.o.g.stop","D6","collected","standing",NA,"big.chances.stopped",NA,NA,NA
"282","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Sauerbrunn","pressured","D18",NA,NA,NA,NA,NA,NA,NA
"283","20",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","20","M","SRFC","Fishlock","passes.s.c","DM3C","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","20","D","SRFC","Fletcher","passes.b.c","AM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","21","D","SRFC","Corsie","passes.s.c","DM3R","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","21","D","SRFC","Barnes","passes.s.c","D3C","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","21","D","SRFC","Corsie","passes.f.c","D3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","21","M","SRFC","Fishlock","passes.f","DM3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","21","GK","FCKC","Barnhart","recoveries","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","21","GK","FCKC","Barnhart","passes.s.c","D18","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","21",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","21","D","FCKC","Brown","passe.s.m","A3R","A3R",NA,NA,NA,"F","SRFC","Rapinoe","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"294","21","M","SRFC","Fishlock","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","21","M","SRFC","Fishlock","passes.f.c","D3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","21","D","SRFC","Fletcher","passes.b.c","DM3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","21","M","SRFC","Fishlock","passes.s.c","D3C","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","21","F","SRFC","Mathias","passes.b.c","DM3R","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","21","D","SRFC","Corsie","passes.f.c","D3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","21","M","SRFC","Fishlock","passes.b.c","DM3C","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","21","D","SRFC","Corsie","passes.b.c","D3R","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","21","GK","SRFC","Solo","passes.f.c","D18","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","22","D","SRFC","Corsie","passes.f.c","DM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","22","F","SRFC","Mathias","passes.s.c","AM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","22","D","SRFC","Fletcher","passes.s.c","AM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","22","M","SRFC","Little","passes.b.c","AM3R","DM3R",NA,NA,NA,"M","FCKC","Laddish","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
"307","22","D","SRFC","Corsie","passes.s.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","22","M","SRFC","Winters","passes.b.c","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","22","D","SRFC","Barnes","passes.s.c","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","22","D","SRFC","Corsie","passes.b.c","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","22","GK","SRFC","Solo","passes.f.c","D3C","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
