uniq_poss_discp_id,uniq_event_id,match_id,event,possdiscp_id,poss_player_disciplinary
1000392,1025174,100032,685,1014,fouls.won
1000393,1025211,100032,722,1015,fouls.won
1000394,1025269,100032,780,1016,fouls.conceded
1000395,1025434,100032,945,1017,fouls.won
1000396,1025511,100032,1022,1018,fouls.conceded
1000397,1025522,100032,1033,1019,fouls.won
1000398,1025537,100032,1048,1020,fouls.conceded
1000399,1025730,100032,1241,1021,fouls.won
1000400,1025750,100032,1261,1022,fouls.won
1000401,1025760,100032,1271,1023,fouls.won
1000402,1025991,100033,118,1001,fouls.won
1000403,1025999,100033,126,1002,fouls.won
1000404,1026150,100033,277,1003,fouls.won
1000405,1026193,100033,320,1004,fouls.won
1000406,1026196,100033,323,1005,fouls.won
1000407,1026424,100033,551,1006,fouls.won
1000408,1026532,100033,659,1007,fouls.won
1000409,1026538,100033,665,1008,fouls.won
1000410,1026563,100033,690,1009,fouls.won
1000411,1026594,100033,721,1010,fouls.won
1000412,1026700,100033,827,1011,fouls.conceded
1000413,1026839,100033,966,1012,fouls.won
1000414,1026842,100033,969,1013,fouls.conceded
1000415,1026864,100033,991,1014,fouls.won
1000416,1026950,100033,1077,1015,fouls.won
1000417,1026953,100033,1080,1016,fouls.conceded
1000418,1026953,100033,1080,1017,yellow.cards
1000419,1026966,100033,1093,1018,fouls.conceded
1000420,1027035,100033,1162,1019,fouls.won
1000421,1027070,100033,1197,1020,fouls.won
1000422,1027098,100033,1225,1021,fouls.won
1000423,1027104,100033,1231,1022,fouls.won
1000424,1027197,100033,1324,1023,fouls.won
1000425,1027215,100033,1342,1024,fouls.won
1000426,1027442,100031,207,1001,fouls.conceded
1000427,1027549,100031,314,1002,fouls.won
1000428,1027634,100031,399,1003,fouls.won
1000429,1027913,100031,678,1004,fouls.won
1000430,1027998,100031,763,1005,fouls.won
1000431,1028059,100031,824,1006,fouls.won
1000432,1028444,100031,1209,1007,fouls.won
1000433,1028486,100031,1251,1008,fouls.won
1000434,1028507,100031,1272,1009,fouls.conceded
1000435,1028572,100031,1337,1010,fouls.conceded
1000436,1028643,100143,30,1001,fouls.won
1000437,1028646,100143,33,1002,fouls.won
1000438,1028659,100143,46,1003,fouls.won
1000439,1028665,100143,52,1004,fouls.conceded
1000440,1028845,100143,232,1005,fouls.won
1000441,1029180,100143,567,1006,fouls.won
1000442,1029334,100143,721,1007,fouls.conceded
1000443,1029372,100143,759,1008,fouls.won
1000444,1029632,100143,1019,1009,fouls.conceded
1000445,1029799,100143,1186,1010,fouls.conceded
1000446,1029961,100143,1348,1011,fouls.conceded
1000447,1030112,100142,112,1001,fouls.won
1000448,1030133,100142,133,1002,fouls.won
1000449,1030228,100142,228,1003,fouls.won
1000450,1030831,100142,831,1004,fouls.won
1000451,1030910,100142,910,1005,fouls.won
1000452,1030932,100142,932,1006,fouls.won
1000453,1031163,100142,1163,1007,fouls.won
1000454,1031187,100142,1187,1008,fouls.won
1000455,1031267,100142,1267,1009,fouls.won
1000456,1031269,100142,1269,1010,fouls.won
1000457,1031276,100142,1276,1011,fouls.won
1000458,1031348,100142,1348,1012,fouls.conceded
1000459,1032116,100147,645,1001,fouls.conceded
1000460,1032231,100147,760,1002,fouls.won
1000461,1032442,100147,971,1003,fouls.won
1000462,1032538,100147,1067,1004,fouls.won
1000463,1032605,100147,1134,1005,fouls.won
1000464,1032650,100147,1179,1006,fouls.conceded
1000465,1032698,100147,1227,1007,fouls.won
1000466,1032850,100146,136,1001,fouls.won
1000467,1032894,100146,180,1002,fouls.won
1000468,1033345,100146,631,1003,fouls.won
1000469,1033368,100146,654,1004,fouls.won
1000470,1033456,100146,742,1005,fouls.won
1000471,1033484,100146,770,1006,fouls.won
1000472,1033698,100146,984,1007,fouls.won
1000473,1033722,100146,1008,1008,fouls.conceded
1000474,1033763,100146,1049,1009,fouls.won
1000475,1033837,100146,1123,1010,fouls.conceded
1000476,1033955,100140,23,1001,fouls.won
1000477,1034018,100140,86,1002,fouls.won
1000478,1034034,100140,102,1003,fouls.won
1000479,1034104,100140,172,1004,fouls.won
1000480,1034232,100140,300,1005,fouls.conceded
1000481,1034272,100140,340,1006,fouls.won
1000482,1034296,100140,364,1007,fouls.won
1000483,1034298,100140,366,1008,fouls.won
1000484,1034333,100140,401,1009,fouls.won
1000485,1034370,100140,438,1010,fouls.won
1000486,1034479,100140,547,1011,fouls.won
1000487,1034634,100140,702,1012,fouls.won
1000488,1034728,100140,796,1013,fouls.won
1000489,1034734,100140,802,1014,fouls.won
1000490,1034798,100140,866,1015,fouls.won
1000491,1034807,100140,875,1016,fouls.won
1000492,1034820,100140,888,1017,fouls.won
1000493,1034897,100140,965,1018,penalties.won
1000494,1034900,100140,968,1019,fouls.won
1000495,1034977,100140,1045,1020,fouls.won
1000496,1034987,100140,1055,1021,fouls.won
1000497,1035014,100140,1082,1022,fouls.won
1000498,1035023,100140,1091,1023,fouls.won
1000499,1035096,100140,1164,1024,fouls.won
1000500,1035110,100140,1178,1025,fouls.won
1000501,1035123,100140,1191,1026,fouls.won
1000502,1035166,100140,1234,1027,fouls.won
1000503,1035173,100140,1241,1028,fouls.won
1000504,1035179,100140,1247,1029,fouls.won
1000505,1035214,100140,1282,1030,fouls.conceded
1000506,1035391,100141,144,1001,fouls.won
1000507,1035480,100141,233,1002,fouls.won
1000508,1035499,100141,252,1003,penalties.won
1000509,1035719,100141,472,1004,fouls.won
1000510,1035742,100141,495,1005,fouls.won
1000511,1035819,100141,572,1006,penalties.won
1000512,1035841,100141,594,1007,fouls.won
1000513,1036030,100141,783,1008,fouls.won
1000514,1036042,100141,795,1009,fouls.won
1000515,1036074,100141,827,1010,fouls.conceded
1000516,1036336,100141,1089,1011,fouls.conceded
1000517,1036359,100141,1112,1012,fouls.conceded
1000518,1036394,100141,1147,1013,fouls.won
1000519,1036488,100141,1241,1014,fouls.conceded
