uniq_def_notes_id,uniq_event_id,match_id,event,defnotes_id,lineup_player_id,def_notes
1000251,1184386,100136,129,1001,101,errors.to.goals
1000252,1185962,100136,1705,1002,114,errors.to.goals
1000253,1186388,100019,411,1001,118,errors.to.big.chances
1000254,1186391,100019,414,1002,117,big.chances.stopped
1000255,1188246,100018,902,1001,105,errors.to.goals
1000256,1188246,100018,902,1002,105,own.goals
1000257,1189866,100017,171,1001,122,errors.to.big.chances
1000258,1189913,100017,218,1002,110,errors.to.big.chances
1000259,1189914,100017,219,1003,101,big.chances.stopped
1000260,1191438,100020,536,1001,117,errors.to.goals
1000261,1192476,100138,298,1001,117,big.chances.stopped
1000262,1192668,100138,490,1002,103,errors.to.big.chances
1000263,1192670,100138,492,1003,101,big.chances.stopped
1000264,1194863,100137,35,1001,117,big.chances.stopped
1000265,1196038,100137,1210,1002,116,errors.to.big.chances
1000266,1197148,100151,854,1001,119,errors.to.goals
1000267,1197148,100151,854,1002,116,own.goals
1000268,1200835,100144,715,1001,127,errors.to.big.chances
