uniq_evtype_id,uniq_event_id,match_id,event,evtype_id,play_type
1000357,1001721,100011,490,1090,launch
1000358,1001726,100011,495,1091,launch
1000359,1001727,100011,496,1092,lay.off
1000360,1001730,100011,499,1093,"free.kick,launch"
1000361,1001754,100011,523,1094,lay.off
1000362,1001777,100011,546,1095,through
1000363,1001789,100011,558,1096,through
1000364,1001791,100011,560,1097,free.kick
1000365,1001800,100011,569,1098,through
1000366,1001802,100011,571,1099,gk.throws
1000367,1001804,100011,573,1100,lay.off
1000368,1001806,100011,575,1101,free.kick
1000369,1001810,100011,579,1102,through
1000370,1001822,100011,591,1103,through
1000371,1001824,100011,593,1104,headed
1000372,1001829,100011,598,1105,launch
1000373,1001830,100011,599,1106,headed
1000374,1001831,100011,600,1107,"free.kick,launch"
1000375,1001833,100011,602,1108,flick.on
1000376,1001836,100011,605,1109,through
1000377,1001837,100011,606,1110,lay.off
1000378,1001841,100011,610,1111,lay.off
1000379,1001847,100011,616,1112,lay.off
1000380,1001854,100011,623,1113,through
1000381,1001868,100011,637,1114,free.kick
1000382,1001875,100011,644,1115,corner.crosses
1000383,1001881,100011,650,1116,launch
1000384,1001882,100011,651,1117,through
1000385,1001889,100011,658,1118,launch
1000386,1001892,100011,661,1119,free.kick
1000387,1001893,100011,662,1120,corner.crosses
1000388,1001894,100011,663,1121,headed
1000389,1001895,100011,664,1122,goal.kick
1000390,1001897,100011,666,1123,headed
1000391,1001904,100011,673,1124,through
1000392,1001917,100011,686,1125,through
1000393,1001919,100011,688,1126,goal.kick
1000394,1001923,100011,692,1127,lay.off
1000395,1001926,100011,695,1128,flick.on
1000396,1001932,100011,701,1129,launch
1000397,1001935,100011,704,1130,launch
1000398,1001937,100011,706,1131,through
1000399,1001939,100011,708,1132,"flick.on,headed"
1000400,1001941,100011,710,1133,"goal.kick,launch"
1000401,1001950,100011,719,1134,through
1000402,1001952,100011,721,1135,corner.crosses
1000403,1001953,100011,722,1136,corner.kick
1000404,1001973,100011,742,1137,corner.crosses
1000405,1001980,100011,749,1138,through
1000406,1001982,100011,751,1139,gk.drop.kick
1000407,1001985,100011,754,1140,flick.on
1000408,1001993,100011,762,1141,through
1000409,1001994,100011,763,1142,corner.crosses
1000410,1002004,100011,773,1143,corner.crosses
1000411,1002005,100011,774,1144,headed
1000412,1002029,100011,798,1145,switch
1000413,1002034,100011,803,1146,lay.off
1000414,1002035,100011,804,1147,through
1000415,1002042,100011,811,1148,corner.crosses
1000416,1002047,100011,816,1149,headed
1000417,1002050,100011,819,1150,corner.crosses
1000418,1002061,100011,830,1151,launch
1000419,1002062,100011,831,1152,through
1000420,1002067,100011,836,1153,"free.kick,launch"
1000421,1002068,100011,837,1154,headed
1000422,1002073,100011,842,1155,launch
1000423,1002075,100011,844,1156,headed
1000424,1002080,100011,849,1157,flick.on
1000425,1002081,100011,850,1158,lay.off
1000426,1002084,100011,853,1159,through
1000427,1002116,100011,885,1160,corner.crosses
1000428,1002118,100011,887,1161,launch
1000429,1002122,100011,891,1162,"goalk,launch"
1000430,1002124,100011,893,1163,headed
1000431,1002125,100011,894,1164,flick.on
1000432,1002130,100011,899,1165,corner.crosses
1000433,1002138,100011,907,1166,corner.kick
1000434,1002139,100011,908,1167,gk.drop.kick
1000435,1002149,100011,918,1168,through
1000436,1002150,100011,919,1169,flick.on
1000437,1002162,100011,931,1170,through
1000438,1002164,100011,933,1171,corner.kick
1000439,1002168,100011,937,1172,launch
1000440,1002173,100011,942,1173,lay.off
1000441,1002174,100011,943,1174,through
1000442,1002177,100011,946,1175,corner.crosses
1000443,1002179,100011,948,1176,goal.kick
1000444,1002190,100011,959,1177,through
1000445,1002191,100011,960,1178,corner.crosses
1000446,1002193,100011,962,1179,"goal.kick,launch"
1000447,1002205,100011,974,1180,through
1000448,1002214,100011,983,1181,free.kick
1000449,1002224,100011,993,1182,"free.kick,launch"
1000450,1002231,100011,1000,1183,lay.off
1000451,1002241,100011,1010,1184,through
1000452,1002242,100011,1011,1185,flick.on
1000453,1002244,100011,1013,1186,corner.crosses
1000454,1002245,100011,1014,1187,launch
1000455,1002254,100011,1023,1188,through
1000456,1002258,100011,1027,1189,lay.off
1000457,1002262,100011,1031,1190,through
1000458,1002293,100011,1062,1191,through
1000459,1002295,100011,1064,1192,through
1000460,1002300,100011,1069,1193,launch
1000461,1002305,100011,1074,1194,lay.off
1000462,1002307,100011,1076,1195,launch
1000463,1002311,100011,1080,1196,"goal.kick,launch"
1000464,1002314,100011,1083,1197,launch
1000465,1002333,100011,1102,1198,flick.on
1000466,1002334,100011,1103,1199,flick.on
1000467,1002336,100011,1105,1200,corner.crosses
1000468,1002339,100011,1108,1201,through
1000469,1002345,100011,1114,1202,gk.drop.kick
1000470,1002351,100011,1120,1203,launch
1000471,1002352,100011,1121,1204,through
1000472,1002355,100011,1124,1205,lay.off
1000473,1002357,100011,1126,1206,launch
1000474,1002365,100011,1134,1207,corner.crosses
1000475,1002371,100011,1140,1208,through
1000476,1002385,100011,1154,1209,flick.on
1000477,1002392,100011,1161,1210,through
1000478,1002394,100011,1163,1211,"free.kick,launch"
1000479,1002403,100011,1172,1212,through
1000480,1002404,100011,1173,1213,flick.on
1000481,1002408,100011,1177,1214,free.kick
1000482,1002412,100011,1181,1215,corner.crosses
1000483,1002413,100011,1182,1216,through
1000484,1002424,100011,1193,1217,through
1000485,1002425,100011,1194,1218,headed
1000486,1002435,100011,1204,1219,flick.on
1000487,1002437,100011,1206,1220,corner.crosses
1000488,1002444,100011,1213,1221,through
1000489,1002446,100011,1215,1222,lay.off
1000490,1002459,100011,1228,1223,corner.kick
1000491,1002471,100011,1240,1224,corner.kick
1000492,1002477,100012,3,1001,launch
1000493,1002480,100012,6,1002,launch
1000494,1002484,100012,10,1003,through
1000495,1002491,100012,17,1004,through
1000496,1002499,100012,25,1005,through
1000497,1002506,100012,32,1006,gk.drop.kick
1000498,1002514,100012,40,1007,lay.off
1000499,1002515,100012,41,1008,through
1000500,1002516,100012,42,1009,corner.crosses
1000501,1002519,100012,45,1010,through
1000502,1002525,100012,51,1011,launch
1000503,1002526,100012,52,1012,through
1000504,1002535,100012,61,1013,through
1000505,1002552,100012,78,1014,launch
1000506,1002553,100012,79,1015,headed
1000507,1002553,100012,79,1016,flick.on
1000508,1002554,100012,80,1017,launch
1000509,1002554,100012,80,1018,free.kick
1000510,1002573,100012,99,1019,free.kick
1000511,1002573,100012,99,1020,launch
1000512,1002580,100012,106,1021,corner.crosses
1000513,1002582,100012,108,1022,corner.crosses
1000514,1002584,100012,110,1023,goal.kick
1000515,1002584,100012,110,1024,launch
1000516,1002591,100012,117,1025,launch
1000517,1002594,100012,120,1026,through
1000518,1002596,100012,122,1027,gk.drop.kick
1000519,1002600,100012,126,1028,launch
1000520,1002600,100012,126,1029,free.kick
1000521,1002601,100012,127,1030,through
1000522,1002606,100012,132,1031,launch
1000523,1002619,100012,145,1032,launch
1000524,1002627,100012,153,1033,through
1000525,1002638,100012,164,1034,launch
1000526,1002639,100012,165,1035,goal.kick
1000527,1002639,100012,165,1036,launch
1000528,1002649,100012,175,1037,launch
1000529,1002650,100012,176,1038,through
1000530,1002654,100012,180,1039,through
1000531,1002671,100012,197,1040,goal.kick
1000532,1002672,100012,198,1041,launch
1000533,1002673,100012,199,1042,through
1000534,1002676,100012,202,1043,through
1000535,1002677,100012,203,1044,goal.kick
1000536,1002677,100012,203,1045,launch
1000537,1002687,100012,213,1046,corner.kick
1000538,1002689,100012,215,1047,headed
1000539,1002708,100012,234,1048,launch
1000540,1002712,100012,238,1049,corner.kick
1000541,1002714,100012,240,1050,launch
1000542,1002714,100012,240,1051,free.kick
1000543,1002717,100012,243,1052,through
1000544,1002719,100012,245,1053,through
1000545,1002721,100012,247,1054,through
1000546,1002724,100012,250,1055,free.kick
1000547,1002726,100012,252,1056,free.kick
1000548,1002736,100012,262,1057,lay.off
1000549,1002741,100012,267,1058,launch
1000550,1002746,100012,272,1059,launch
1000551,1002748,100012,274,1060,free.kick
1000552,1002756,100012,282,1061,launch
1000553,1002759,100012,285,1062,through
1000554,1002766,100012,292,1063,corner.crosses
1000555,1002773,100012,299,1064,through
1000556,1002784,100012,310,1065,through
1000557,1002785,100012,311,1066,goal.kick
1000558,1002785,100012,311,1067,launch
1000559,1002788,100012,314,1068,through
1000560,1002803,100012,329,1069,through
1000561,1002806,100012,332,1070,through
1000562,1002810,100012,336,1071,corner.kick
1000563,1002812,100012,338,1072,goal.kick
1000564,1002812,100012,338,1073,launch
1000565,1002815,100012,341,1074,headed
1000566,1002821,100012,347,1075,lay.off
1000567,1002827,100012,353,1076,through
1000568,1002829,100012,355,1077,launch
1000569,1002829,100012,355,1078,through
1000570,1002833,100012,359,1079,free.kick
1000571,1002833,100012,359,1080,crosses
1000572,1002834,100012,360,1081,flick.on
1000573,1002835,100012,361,1082,through
1000574,1002839,100012,365,1083,through
1000575,1002841,100012,367,1084,headed
1000576,1002841,100012,367,1085,flick.on
1000577,1002844,100012,370,1086,through
1000578,1002846,100012,372,1087,headed
1000579,1002849,100012,375,1088,through
1000580,1002850,100012,376,1089,through
1000581,1002854,100012,380,1090,headed
1000582,1002861,100012,387,1091,lay.off
1000583,1002866,100012,392,1092,launch
1000584,1002872,100012,398,1093,launch
1000585,1002878,100012,404,1094,corner.kick
1000586,1002883,100012,409,1095,through
1000587,1002885,100012,411,1096,through
1000588,1002889,100012,415,1097,launch
1000589,1002890,100012,416,1098,through
1000590,1002903,100012,429,1099,launch
1000591,1002904,100012,430,1100,headed
1000592,1002904,100012,430,1101,flick.on
1000593,1002908,100012,434,1102,switch
1000594,1002910,100012,436,1103,free.kick
1000595,1002910,100012,436,1104,crosses
1000596,1002912,100012,438,1105,through
1000597,1002918,100012,444,1106,switch
1000598,1002920,100012,446,1107,launch
1000599,1002921,100012,447,1108,through
1000600,1002926,100012,452,1109,flick.on
1000601,1002927,100012,453,1110,goal.kick
1000602,1002927,100012,453,1111,launch
1000603,1002933,100012,459,1112,launch
1000604,1002934,100012,460,1113,free.kick
1000605,1002934,100012,460,1114,launch
1000606,1002936,100012,462,1115,through
1000607,1002937,100012,463,1116,deep.crosses
1000608,1002948,100012,474,1117,lay.off
1000609,1002952,100012,478,1118,launch
1000610,1002955,100012,481,1119,through
1000611,1002957,100012,483,1120,through
1000612,1002965,100012,491,1121,switch
1000613,1002973,100012,499,1122,lay.off
1000614,1002981,100012,507,1123,lay.off
1000615,1002996,100012,522,1124,through
1000616,1002998,100012,524,1125,corner.crosses
1000617,1002999,100012,525,1126,corner.kick
1000618,1003001,100012,527,1127,goal.kick
1000619,1003001,100012,527,1128,launch
1000620,1003007,100012,533,1129,lay.off
1000621,1003014,100012,540,1130,through
1000622,1003015,100012,541,1131,free.kick
1000623,1003026,100012,552,1132,free.kick
1000624,1003027,100012,553,1133,goal.kick
1000625,1003027,100012,553,1134,launch
1000626,1003041,100012,567,1135,launch
1000627,1003042,100012,568,1136,flick.on
1000628,1003043,100012,569,1137,gk.drop.kick
1000629,1003049,100012,575,1138,lay.off
1000630,1003061,100012,587,1139,through
1000631,1003062,100012,588,1140,corner.crosses
1000632,1003063,100012,589,1141,goal.kick
1000633,1003063,100012,589,1142,launch
1000634,1003072,100012,598,1143,launch
1000635,1003074,100012,600,1144,free.kick
1000636,1003074,100012,600,1145,launch
1000637,1003076,100012,602,1146,goal.kick
1000638,1003076,100012,602,1147,launch
1000639,1003077,100012,603,1148,flick.on
1000640,1003077,100012,603,1149,headed
1000641,1003078,100012,604,1150,through
1000642,1003080,100012,606,1151,launch
1000643,1003082,100012,608,1152,flick.on
1000644,1003082,100012,608,1153,headed
1000645,1003088,100012,614,1154,lay.off
1000646,1003098,100012,624,1155,launch
1000647,1003099,100012,625,1156,through
1000648,1003113,100012,639,1157,goal.kick
1000649,1003113,100012,639,1158,launch
1000650,1003118,100012,644,1159,headed
1000651,1003120,100012,646,1160,through
1000652,1003122,100012,648,1161,free.kick
1000653,1003122,100012,648,1162,launch
1000654,1003126,100012,652,1163,launch
1000655,1003140,100012,666,1164,launch
1000656,1003141,100012,667,1165,headed
1000657,1003157,100012,683,1166,through
1000658,1003158,100012,684,1167,corner.crosses
1000659,1003159,100012,685,1168,goal.kick
1000660,1003159,100012,685,1169,launch
1000661,1003160,100012,686,1170,headed
1000662,1003163,100012,689,1171,through
1000663,1003165,100012,691,1172,through
1000664,1003167,100012,693,1173,corner.kick
1000665,1003171,100012,697,1174,launch
1000666,1003173,100012,699,1175,through
1000667,1003177,100012,703,1176,through
1000668,1003178,100012,704,1177,headed
1000669,1003183,100012,709,1178,launch
1000670,1003183,100012,709,1179,through
1000671,1003189,100012,715,1180,launch
1000672,1003198,100012,724,1181,corner.crosses
1000673,1003200,100012,726,1182,headed
1000674,1003212,100012,738,1183,goal.kick
1000675,1003212,100012,738,1184,launch
1000676,1003214,100012,740,1185,free.kick
1000677,1003214,100012,740,1186,launch
1000678,1003215,100012,741,1187,headed
1000679,1003224,100012,750,1188,corner.crosses
1000680,1003225,100012,751,1189,corner.kick
1000681,1003226,100012,752,1190,goal.kick
1000682,1003230,100012,756,1191,launch
