Stat,Acronym,Panel,Type
All Opponent Possessions Disrupted,All Opp Poss Disrupted,Player Defending,frequency
Opponent Possessions Disrupted per 90,All Opp Poss Disrupted per 90,Player Defending,
Dribbled by a Possessing Player's Take On,Dribbled,Player Defending,frequency
Dribbled by a Possessing Player's Take On per 90,Dribbled per 90,Player Defending,
Pressured the Possessing Player,Pressured Opp,Player Defending,frequency
Challenged the Possessing Player,Challenged Opp,Player Defending,frequency
Recoveries,Recoveries,Ball Defending,frequency
Recoveries per 90,Recoveries per 90,Ball Defending,
Defensive Recoveries,Def Recoveries,Ball Defending,frequency
Possessing Recoveries,Poss Recoveries,Ball Defending,frequency
Interceptions,Interceptions,Ball Defending,frequency
Interceptions per 90,Interceptions per 90,Ball Defending,
Blocks,Blocks,Ball Defending,frequency
Blocks per 90,Blocks per 90,Ball Defending,
Clearances,Clearances,Ball Defending,frequency
Clearances per 90,Clearances per 90,Ball Defending,
Ball Shielded,Ball Shields,Ball Defending,frequency
Shots on Goal Saved by the GK,Saves,GK Saves,frequency
Goals Scored Against the GK,Goals Allowed,GK Saves,frequency
Shots on Goal Faced by the GK,GK SOG Faced,GK Saves,frequency
Goals per Shot on Goal Faced by the GK,GperSOG,GK Saves,
Big Chances Saved by the GK,BC Saves,GK Saves,frequency
Big Chances Scored Against the GK,BC Goals Allowed,GK Saves,frequency
Big Chance SOG Faced by the GK,BC SOG Faced,GK Saves,frequency
Goals per Big Chances SOG Against the GK,GperBCSOG,GK Saves,
High Balls Faced,High Balls Faced,GK High Balls,frequency
High Balls Won,HB Won,GK High Balls,frequency
High Ball Win Percentage,HB Win Pct,GK High Balls,
High Balls Lost,HB Lost,GK High Balls,frequency
High Balls Caught,HB Caught,GK High Balls,frequency
High Balls Punched Away,HB Punched,GK High Balls,frequency
High Balls Parried,HB Parried,GK High Balls,frequency
High Balls Collected,HB Collected,GK High Balls,frequency
High Ball Fouls Won,HB Fouls Won,GK High Balls,frequency
Crosses Faced,Crosses GK Faced,GK Set Pieces,frequency
Crosses Won,Crosses GK Won,GK Set Pieces,frequency
Crosses Lost,Crosses GK Lost,GK Set Pieces,frequency
Corner Kicks Faced,CKs GK Faced,GK Set Pieces,frequency
Corner Kicks Won,CKs GK Won,GK Set Pieces,frequency
Corner Kicks Lost,CKs GK Lost,GK Set Pieces,frequency
Free Kicks Faced,FKs GK Faced,GK Set Pieces,frequency
Free Kicks Won,FKs GK Won,GK Set Pieces,frequency
Free Kicks Lost,FKs GK Lost,GK Set Pieces,frequency
All Passes Completed by the GK,GK Overall Pass Comp,GK Distribution,frequency
All Pass Attempts by the GK,GK Overall Pass Att,GK Distribution,frequency
Overall GK Distribution,GK Overall Pass Comp Pct,GK Distribution,
GK Throws Completed,GK Throw Comp,GK Distribution,frequency
GK Throw Attempts,GK Throw Att,GK Distribution,frequency
GK Throw Comp Pct,GK Throw Comp Pct,GK Distribution,
Drop Kicks Completed,GK Drop Kick Comp,GK Distribution,frequency
Drop Kicks Attempted,GK Drop Kick Att,GK Distribution,frequency
Drop Kick Comp Pct,GK Drop Kick Comp Pct,GK Distribution,
Goal Kicks + Free Kicks Completed by the GK,GKFK Comp,GK Distribution,frequency
Goal Kicks + Free Kicks Taken by the GK,GKFK Att,GK Distribution,frequency
Goalkeeper Goal Kick + Free Kick Completion Pct,GKFK Comp Pct,GK Distribution,
Smothers Won,Smothers Won,GK Smothers,frequency
Smothers Lost,Smothers Lost,GK Smothers,frequency
Fouls Won,Fouls Won,Disciplinary,frequency
Fouls Conceded,Fouls Conceded,Disciplinary,frequency
Yellow Cards,Yellow Cards,Disciplinary,frequency
Red Cards,Red Cards,Disciplinary,frequency
Penalty Kicks Won,Penalties Won,Disciplinary,frequency
Penalty Kicks Conceded,Penalties Conceded,Disciplinary,frequency
