"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes"
734,"51",NA,"USA","Heath","dispossessed","A18",NA,NA,NA,"COL","Asprilla","tackles.ball","D18",NA,NA,NA,NA,NA,NA
734,"51",NA,NA,NA,NA,NA,NA,NA,NA,"COL","Echeverri","challenged",NA,NA,NA,NA,NA,NA,NA
735,"51",NA,"COL","Usme","recoveries","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
736,"51",NA,"COL","Usme","clearances","D18",NA,NA,NA,"USA","Dunn","challenged","A18",NA,NA,NA,NA,NA,NA
737,"51",NA,"USA","Johnston","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
738,"51",NA,"USA","Johnston","passes.f","AM3L",NA,"headed",NA,"COL","Rincon","pressured","DM3R",NA,NA,NA,NA,NA,NA
738,"51",NA,NA,NA,NA,NA,NA,NA,NA,"COL","Usme","interceptions","DM3C",NA,NA,NA,NA,NA,NA
739,"51",NA,"COL","Usme","passes.f.c","DM3C","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
740,"51",NA,"COL","Rincon","passes.b.c","DM3R","DM3R",NA,NA,"USA","Long","pressured","AM3L",NA,NA,NA,NA,NA,NA
741,"51",NA,"COL","Ospina","passes.f","DM3R",NA,NA,NA,"USA","Long","challenged","AM3L",NA,NA,NA,NA,NA,NA
741,"51",NA,NA,NA,NA,NA,NA,NA,NA,"USA","Long","blocks","AM3L",NA,NA,NA,NA,NA,NA
742,"51",NA,"USA","Mewis","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
743,"51",NA,"USA","Mewis","passes.s.c","AM3C","AM3L",NA,NA,"COL","Rincon","pressured","DM3C",NA,NA,NA,NA,NA,NA
744,"51",NA,"USA","Johnston","passes.f.c","AM3L","AM3C",NA,NA,"COL","Rincon","pressured","DM3R",NA,NA,NA,NA,NA,NA
745,"51",NA,"USA","Long","passes.b.c","AM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746,"51",NA,"USA","Sauerbrunn","passes.f.c","DM3C","AM3R",NA,NA,"COL","Usme","pressured","AM3C",NA,NA,NA,NA,NA,NA
747,"51",NA,"USA","Press","passes.f.c","AM3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,"52",NA,"USA","Dunn","passes.s.c","A3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
749,"52",NA,"USA","Lloyd","passes.f.c","A3R","A3R","through",NA,"COL","Salazar","pressured","D3L",NA,NA,NA,NA,NA,NA
750,"52",NA,"USA","O'Hara","take.on.won","A3R",NA,NA,NA,"COL","Gaitan","dribbled.turned","D3L",NA,NA,NA,NA,NA,NA
751,"52",NA,"USA","O'Hara","movement","A3R","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
752,"52",NA,"USA","O'Hara","passes.s","A18",NA,"corner.crosses",NA,"COL","Salazar","clearances","D18",NA,NA,NA,NA,NA,NA
753,"52",NA,"USA","Klingenberg","recoveries","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
754,"52",NA,"USA","Klingenberg","passes.b.c","A3L","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
755,"52",NA,"USA","Mewis","passes.f.c","A3C","A3C",NA,NA,"COL","Rincon","pressured","D3C",NA,NA,NA,NA,NA,NA
756,"52",NA,"USA","Long","passes.b.c","A3C","A3C","lay.off",NA,"COL","Salazar","challenged","D3C",NA,NA,NA,NA,NA,NA
757,"52",NA,"USA","Mewis","shots.missed","A3C",NA,NA,NA,"COL","Rincon","pressured","D3C",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
757,"52",NA,NA,NA,NA,NA,NA,NA,"GK","COL","Perez","gk.shot.miss",NA,NA,NA,NA,NA,NA,NA
758,"52","GK","COL","Perez","passes.f.c","D6","DM3R","goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
758,"52",NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
759,"52",NA,"COL","Ospina","lost.touch","DM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
760,"52",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
761,"52",NA,"USA","Long","passes.f","AM3L",NA,NA,NA,"COL","Ospina","pressured","DM3R",NA,NA,NA,NA,NA,NA
762,"52",NA,"COL","Asprilla","recoveries","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
763,"53",NA,"COL","Asprilla","clearances","D3R",NA,NA,NA,"USA","Heath","blocks","A3L",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
764,"53",NA,"COL","Arias","passes.f","DM3R",NA,"free.kick",NA,"USA","Mewis","interceptions","DM3C",NA,NA,NA,NA,NA,NA
764,"53",NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
765,"53",NA,"COL","Usme","aerial.lost","AM3C",NA,NA,NA,"USA","Mewis","aerial.won","DM3C",NA,NA,NA,NA,NA,NA
766,"53",NA,"USA","Mewis","passes.f.c","DM3C","DM3C","headed",NA,"COL","Usme","pressured","AM3C",NA,NA,NA,NA,NA,NA
767,"53",NA,"USA","Lloyd","passes.f","DM3C",NA,"flick.on",NA,"COL","Gaitan","clearances","DM3C",NA,NA,NA,NA,NA,NA
768,"53",NA,"USA","Mewis","aerial.lost","DM3C",NA,NA,NA,"COL","Rincon","aerial.won","AM3C",NA,NA,NA,NA,NA,NA
769,"53",NA,"USA","Klingenberg","recoveries","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
770,"53",NA,"USA","Klingenberg","passes.f","D3L",NA,NA,NA,"COL","Rincon","blocks","AM3R",NA,NA,NA,NA,NA,NA
771,"53",NA,"USA","Heath","fouls.won","DM3L",NA,NA,NA,"COL","Asprilla","fouls.conceded","AM3R",NA,NA,"fouls.won",NA,"fouls.conceded",NA
772,"54",NA,"USA","Klingenberg","passes.b.c","DM3L","DM3C","free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
773,"54",NA,"USA","Johnston","passes.f.c","DM3C","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
774,"54",NA,"USA","Sauerbrunn","movement","AM3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
775,"54",NA,"USA","Sauerbrunn","passes.f.c","A3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,"54",NA,"USA","O'Hara","passes.b.c","A3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
777,"54",NA,"USA","Sauerbrunn","passes.b.c","A3R","AM3R",NA,NA,"COL","Usme","pressured","D3L",NA,NA,NA,NA,NA,NA
778,"54",NA,"USA","Mewis","passes.s.c","AM3R","AM3C",NA,NA,"COL","Rincon","pressured","DM3L",NA,NA,NA,NA,NA,NA
779,"54",NA,"USA","Johnston","passes.f.c","AM3C","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780,"54",NA,"USA","Heath","passes.f.c","A3L","A18","through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
781,"54",NA,"USA","Long","passes.s.c","A18","A18","corner.crosses",NA,"COL","Salazar","pressured","D18",NA,NA,NA,NA,NA,NA
782,"54",NA,"USA","Dunn","shots.missed","A18",NA,NA,NA,"COL","Gaitan","challenged","D18",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
782,"54",NA,NA,NA,NA,NA,NA,NA,"GK","COL","Perez","gk.shot.miss",NA,NA,NA,NA,NA,NA,NA
783,"55","GK","COL","Perez","passes.f","D6",NA,NA,NA,"USA","Press","interceptions","AM3R",NA,NA,NA,NA,NA,NA
784,"55",NA,"USA","Press","passes.f","AM3R","A3R","launch",NA,"COL","Santos","pressured","DM3L",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
785,"55","GK","COL","Perez","passes.f.c","D6","DM3L","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
785,"55",NA,NA,NA,NA,NA,NA,"goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
786,"55",NA,"COL","Santos","lost.touch","DM3L",NA,NA,NA,"USA","Press","challenged","AM3R",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
786,"55",NA,NA,NA,NA,NA,NA,NA,NA,"USA","O'Hara","challenged",NA,NA,NA,NA,NA,NA,NA
787,"55",NA,"USA","O'Hara","passes.f.c","AM3R","A3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788,"55",NA,"USA","Dunn","passes.s.c","A3R","A3R",NA,NA,"COL","Santos","challenged","D3L",NA,NA,NA,NA,NA,NA
789,"55",NA,"USA","Press","passes.b.c","A3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
790,"55",NA,"USA","O'Hara","passes.f.c","AM3R","A3R",NA,NA,"COL","Santos","pressured","DM3L",NA,NA,NA,NA,NA,NA
791,"55",NA,"USA","Press","passes.s.c","A3R","A3R",NA,NA,"COL","Velasquez","pressured","D3L",NA,NA,NA,NA,NA,NA
792,"55",NA,"USA","Dunn","take.on.won","A3R",NA,NA,NA,"COL","Santos","dribbled.tackles.missed","D3L",NA,NA,NA,NA,NA,NA
793,"55",NA,"USA","Dunn","take.on.lost","A3R",NA,NA,NA,"COL","Rincon","tackles.ball","D3L",NA,NA,NA,NA,NA,NA
794,"55",NA,"USA","Lloyd","recoveries","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,"55",NA,"USA","Lloyd","passes.f.c","A3C","AM3C",NA,NA,"COL","Salazar","pressured","D3C",NA,NA,NA,NA,NA,NA
